article_key,manual_scope_decision
http://clarin.com/sociedad/linchamiento-hombre-golpeado-pareja-murio-atacado-grupo-vecinos_0_9v24bOZqP.html,include
http://clarin.com/sociedad/mato-marido-absuelta-feliz-fallo-justo_0_Mgx2U2_WE.html,include
http://clarin.com/sociedad/murio-hombre-mato-mujer-hijos-santiago-estero_0_H1ivUgjFx.html,include
http://clarin.com/sociedad/quilmes-chica-murio-caer-balcon-sospechan-novio_0_rJNy0Vbr-.html,include
http://jornada.com.mx/notas/2021/09/01/estados/catedratico-de-la-uan-es-procesado-por-asesinar-a-otra-profesora,include
http://jornada.com.mx/notas/2021/09/07/estados/siete-asesinos-de-mujeres-presos-de-por-vida,include
http://jornada.com.mx/notas/2021/10/02/capital/agresor-es-ultimado-por-su-victima,include
http://jornada.com.mx/notas/2021/10/14/deportes/juzgan-en-francia-a-mujer-que-provoco-multitudinaria-caida-en-el-tour,exclude
http://jornada.com.mx/notas/2021/10/14/estados/declaran-culpable-a-feminicida-en-baja-california,include
http://jornada.com.mx/notas/2021/11/17/estados/por-muerte-de-paciente-detienen-a-duena-de-clinica-privada-en-nl,exclude
http://jornada.com.mx/notas/2022/01/17/estados/exigen-en-nezahualcoyotl-liberar-a-joven-que-asesino-a-su-violador,include
http://jornada.com.mx/notas/2022/02/03/estados/ordenan-sentencia-vitalicia-contra-feminicida-en-estado-de-mexico,include
http://jornada.com.mx/notas/2022/02/11/estados/catean-domicilio-de-mujer-activista-en-neza-denuncian-atropello,exclude
http://jornada.com.mx/notas/2022/02/16/estados/liberan-a-joven-que-mato-a-su-agresor-sexual-en-neza-reclasifican-cargo,include
http://jornada.com.mx/notas/2022/04/05/estados/condenan-colectivos-agresion-contra-activistas-en-chimalhuacan,review
http://jornada.com.mx/notas/2022/04/11/estados/mujer-que-asesino-a-su-agresor-podria-regresar-a-penal-colectivos,include
http://jornada.com.mx/notas/2022/05/04/capital/detienen-a-hombre-implicado-en-feminicidio-en-la-cuauhtemoc,include
http://lanacion.com.ar/estados-unidos/nadaba-en-las-bahamas-la-ataco-un-tiburon-y-tuvo-una-intervencion-dramatica-senti-que-me-moria-nid22062023,exclude
http://lanacion.com.ar/politica/el-caso-cecilia-los-elogios-que-jorge-capitanich-le-dedico-a-emerenciano-sena-al-escribirle-el-nid16062023,exclude
http://lanacion.com.ar/politica/pidieron-declarar-los-tios-de-cesar-sena-y-buscarian-despegar-al-matrimonio-sena-acuna-del-posible-nid16062023,include
http://lanacion.com.ar/seguridad/crimen-en-san-pedro-detienen-al-padre-y-la-hermana-de-la-mujer-apresada-por-la-muerte-de-naiara-nid22082023,include
http://lanacion.com.ar/seguridad/declaracion-confeso-el-fisicoculturista-que-estrangulo-a-su-pareja-y-quemo-el-cuerpo-dentro-de-una-nid17102023,include
http://lanacion.com.ar/seguridad/divorcio-mortal-arrestaron-a-una-pareja-por-matar-y-quemar-dentro-de-un-hotel-al-exesposo-de-la-nid03112023,exclude
http://lanacion.com.ar/seguridad/horror-en-formosa-una-beba-de-un-ano-murio-por-golpes-en-la-cabeza-y-detuvieron-a-su-abuela-que-la-nid02012023,exclude
http://lanacion.com.ar/seguridad/horror-mato-a-su-pareja-y-a-su-hijastro-de-13-anos-escondio-los-cuerpos-en-un-freezer-y-atendio-el-nid29082023,include
http://lanacion.com.ar/seguridad/robo-y-homicidio-conmocion-en-pergamino-murio-el-productor-rural-que-habia-sido-baleado-en-un-asalto-nid23052023,exclude
http://milenio.com/opinion/humberto-rios-navarrete/cronicas-urbanas/la-cazafeminicidas-sufre-amenazas-de-muerte,include
http://milenio.com/policia/asesinato-esposo-parricidio-propiedades-fiscalia-detenida_0_557944511.html,exclude
http://milenio.com/policia/casos-mujeres-embarazadas-asesinadas-robar-bebes,include
http://milenio.com/policia/colonia_industrial-gustavo_a_madero-mata_festejada-conocio-facebook-noticias_0_948505392.html,exclude
http://milenio.com/policia/Degolladora-ataco-drogada_0_607139319.html,exclude
http://milenio.com/policia/difunden-nuevo-video-sujeto-apunalo-milagros-en-leon,include
http://milenio.com/policia/embarazada-veracruz-asesinan-extraen-bebe-tampico-alvarado-noticias_0_1151285144.html,exclude
http://milenio.com/policia/interno-puente_grande-asesino-familia-lesiones-alambre_0_481752037.html,include
http://milenio.com/policia/La_degolladora_Chimalhuacan_Estado_de_Mexico-degolladora_Edomex_0_607139504.html,exclude
http://milenio.com/policia/lidia-gabriela-hombre-conducia-taxi-vinculado-proceso,include
http://milenio.com/policia/mujer-lanza-vias_metro-tepito-hija-menor-milenio-noticias_0_938306348.html,exclude
http://milenio.com/policia/polanco-mujer-muere-apunalada-salon-belleza,exclude
http://milenio.com/policia/Violencia_Torreon-Policia_Municipal_violento-agresion_a_mujer-DSPM_Torreon_0_552544853.html,include
http://milenio.com/politica/comunidad/ariadna-hallan-vida-morelos-a-mujer-desaparecio-en-cdmx,review
http://pagina12.com.ar/diario/laventana/26-310454-2016-09-28.html,include
http://pagina12.com.ar/diario/sociedad/3-297842-2016-04-26.html,include
http://pagina12.com.ar/diario/suplementos/rosario/9-52903-2016-01-20.html,exclude
http://pagina12.com.ar/diario/suplementos/rosario/9-55981-2016-08-15.html,include
http://pagina12.com.ar/temas/614-violencia-de-genero,exclude
http://clarin.com/policiales/femicidio-santa-fe-hombre-mato-punaladas-pareja-enfrente-hija-4-anos_0_cCdNtazDPB.html,include
http://clarin.com/sociedad/llamen-911-chicos-solos-asesino-pareja-dejo-mensaje-puerta-casa-suicido_0_CiYqWONAMz.html,include
http://lanacion.com.ar/el-mundo/conmocion-en-chile-la-detuvieron-le-quito-el-arma-a-un-guardia-y-empezo-a-los-tiros-nid01042024,exclude
http://lanacion.com.ar/el-mundo/la-madre-de-la-nina-asesinada-en-mexico-le-respondio-al-funcionario-que-la-acuso-de-irresponsable-nid30032024,include
http://lanacion.com.ar/estados-unidos/caso-camila-asesinaron-a-una-chica-de-8-anos-en-mexico-y-los-vecinos-lincharon-hasta-la-muerte-a-la-nid29032024,include
http://lanacion.com.ar/politica/ordenaron-detener-a-una-arquitecta-de-jujuy-que-hablo-via-whatsapp-de-la-supuesta-infidelidad-de-la-nid24022024,exclude
http://lanacion.com.ar/seguridad/detienen-a-una-joven-enfermera-por-la-muerte-de-su-bebe-recien-nacido-nid16122024,exclude
http://lanacion.com.ar/seguridad/encontraron-a-la-duena-del-auto-que-atropello-a-un-hombre-en-silla-de-ruedas-pero-siguira-libre-nid05102024,exclude
http://milenio.com/deportes/extra-cancha/wander-franco-a-juicio-por-cargos-de-abuso-sexual-y-trata-de-personas,include
http://milenio.com/internacional/bebe-muere-de-que-su-familia-murio-en-parada-de-autobus,exclude
http://milenio.com/internacional/mujeres-asesinaron-menor-5-anos-separadas-carcel,exclude
http://milenio.com/policia/de-que-murio-camila-revelan-causa-de-muerte-menor-en-taxco,include
http://milenio.com/policia/joven-finge-secuestro-abortar-puebla-deja-feto-iglesia,exclude
http://clarin.com/ciudades/detuvieron-madre-dejo-cuerpo-beba-contenedor-belgrano-conto-hizo_0_xI9DTHA02D.html,exclude
http://clarin.com/deportes/misteriosa-muerte-adan-manzano-mujer-acusada-robarle-periodista-mexicano-hallado-vida-cubrir-super-bowl_0_CfwZvUNc7x.html,exclude
http://clarin.com/policiales/giro-investigacion-crimen-familia-villa-crespo-creen-mujer-mato-suicido_0_axyh9aAQmr.html,exclude
http://clarin.com/policiales/mato-pareja-confeso-femicidio-sento-tomar-whisky-esperaba-policia_0_gPJpslXmlN.html,include
http://clarin.com/policiales/prision-preventiva-mujer-tucumana-rapada-golpeada-desnudada-bolivia-acusada-robo_0_U4Tqi03QPA.html,review
http://clarin.com/sociedad/caso-julieta-silva-pericia-psicologica-revelo-personalidad-narcisista-manipuladora-peligrosa_0_BWHXIsvO7H.html,exclude
http://clarin.com/sociedad/pidio-fiado-dieron-volvio-escopeta-trabo-termino-tirando-balas-mano_0_mpqe7TwIBZ.html,exclude
http://lanacion.com.ar/el-mundo/encontraron-muerta-a-la-gerenta-de-un-banco-de-brasil-en-su-casa-su-vecino-confeso-haberla-violado-y-nid27022025,include
http://lanacion.com.ar/seguridad/animos-alterados-una-mujer-apunalo-tres-veces-a-su-jefe-porque-no-le-quiso-aumentar-el-sueldo-nid08012025,exclude
http://lanacion.com.ar/seguridad/arrestaron-a-la-madre-de-la-bailarina-ayelen-paleo-por-el-delito-de-trata-de-personas-nid27082025,include
http://lanacion.com.ar/seguridad/cayo-denise-la-viuda-negra-que-drogo-y-golpeo-a-un-jubilado-para-robarle-us-50000-nid11012025,exclude
http://lanacion.com.ar/seguridad/conmocion-en-santa-fe-la-exnovia-del-adolescente-asesinado-seguira-presa-y-apuntan-a-un-video-intimo-nid29122025,exclude
http://lanacion.com.ar/seguridad/detienen-a-una-joven-de-18-anos-acusada-de-haber-asesinado-a-punaladas-a-su-suegra-nid08062025,exclude
http://lanacion.com.ar/seguridad/era-violenta-y-controladora-dijo-el-padre-de-leonel-en-el-juicio-contra-la-mujer-acusada-de-matar-a-nid21082025,exclude
http://lanacion.com.ar/seguridad/la-actriz-y-empresaria-que-atropello-y-mato-a-un-turista-brasileno-en-recoleta-amplio-su-indagatoria-nid09012025,exclude
http://lanacion.com.ar/seguridad/la-matanza-le-pego-a-su-pareja-la-atropello-con-un-camion-y-la-mato-nid24122025,include
http://lanacion.com.ar/seguridad/la-mujer-trans-detenida-en-cordoba-que-habia-violado-y-embarazado-a-una-companera-fue-imputada-por-nid05022025,review
http://lanacion.com.ar/seguridad/linchada-en-bolivia-una-ladrona-tucumana-fue-golpeada-rapada-y-paseada-semidesnuda-tras-ser-acusada-nid13072025,review
http://lanacion.com.ar/seguridad/mendoza-detuvieron-por-violencia-contra-su-marido-a-julieta-silva-la-mujer-que-en-2017-atropello-y-nid24072025,exclude
http://lanacion.com.ar/seguridad/misterio-en-belgrano-la-pareja-del-hombre-encontrado-muerto-estuvo-presa-12-veces-y-tenia-boton-nid04072025,exclude
http://lanacion.com.ar/seguridad/un-chico-de-8-anos-termino-con-un-cuchillo-clavado-en-la-cabeza-tras-una-discusion-con-su-madre-nid08012025,exclude
http://lanacion.com.ar/seguridad/un-policia-baleo-a-su-pareja-golpeo-a-su-hija-y-se-enfrento-en-un-tiroteo-con-sus-colegas-de-nid01082025,include
http://milenio.com/espectaculos/famosos/influencer-es-asesinada-por-su-ex-novio-el-joven-la-estrangulo-brasil,include
http://milenio.com/espectaculos/famosos/muere-sara-burack-de-netflix-la-atropellaron-y-se-dieron-a-la-fuga,exclude
http://milenio.com/estados/investigan-10-policias-presunto-feminicidio-salina-cruz,review
http://milenio.com/estados/slp-sentencian-padrastro-asesino-golpes-bebe,include
http://milenio.com/policia/detienen-a-presunto-feminicida-en-ocuilan-crimen-ocurrio-en-2023,include
http://milenio.com/policia/detienen-mujer-discutir-golpear-novio-iztacalco,exclude
http://milenio.com/policia/marianne-es-vinculada-a-proceso-por-lesiones-contra-valentina-gilabert,exclude
http://milenio.com/policia/mujer-apunala-a-su-novio-en-la-magdalena-contreras,exclude
http://milenio.com/policia/procesan-a-otra-implicada-en-asesinato-colaboradores-de-brugada-van-7,include
http://milenio.com/policia/violencia-genero,exclude
